ISO2,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_source,Budget_distribution_scenario,Years_to_neutrality,Neutrality_year,Latest_year,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_cumulative_population,Share_of_cumulative_population,Population_2050,Share_of_total_population_2050,Global_Carbon_budget,Country_carbon_budget,scenario_id
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,300000,,41
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,300000,,42
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,247000,2.576255219889261,43
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,247000,,44
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,247000,,45
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,250000,2.607545769118685,46
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,250000,,47
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,50%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,250000,,48
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,60000,0.6258109845884845,49
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,60000,,50
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,60000,,51
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,150000,1.5645274614712112,52
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,150000,,53
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,67%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,150000,,54
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1603000,16.71958347158901,55
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1603000,,56
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1603000,,57
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1450000,15.123765460888375,58
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1450000,,59
AW,Aruba,Latin America and Caribbean,Consumption,2°C,33%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1450000,,60
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1219000,12.71439317022271,61
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1219000,,62
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1219000,,63
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1150000,11.994710537945952,64
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1150000,,65
AW,Aruba,Latin America and Caribbean,Consumption,2°C,50%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,1150000,,66
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,944000,9.846092824192155,67
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,944000,,68
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,944000,,69
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,950000,9.908673922651005,70
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Foster,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,950000,,71
AW,Aruba,Latin America and Caribbean,Consumption,2°C,67%,Foster,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,950000,,72
